sec,r.init,r.init was invoked (a)
0.001,0.981,robot,pushButton was invoked
0.002,1.543,robot,resetMotorEncoders was called
0.003,1.163,robot,enableMotorEncoders was called
0.006,2.181,r.init,r.init finished (a)
0.007,1.658,autonomous,Done with robot.init --- starting p.init
0.009,1.296,pm.init,pm.init was invoked
0.010,1.128,robot,enableEncodersToPosition was called
0.012,2.530,robot,resetMotorEncoders was called
0.013,0.647,robot,setMotorTargets was called - f:r:s: 0 : 0 : 0
0.014,0.954,robot,enableEncodersToPosition was called
0.014,0.537,robot,setMotorPower was called - power: 1.00
0.015,1.065,pm.init,pm.init finished
0.016,0.904,autonomous,Done with pm.init --- waiting for start
0.017,0.777,autonomous,Started
3.949,3931.549,Mainline,Begining state machine pass
3.951,1.849,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
3.953,2.556,StateMachine,Execution of clear el wall has started
3.954,1.418,StateMachine,after this.isFirstTime = false
3.956,1.941,StateMachine,before if(conditionsToCheck
3.958,1.485,StateMachine,before this.everyTime
3.959,1.266,StateMachine,after this.everyTime
3.960,0.727,StateMachine,run completed
3.960,0.545,Mainline,Ending state machine pass
3.962,1.763,Mainline,Begining state machine pass
3.963,0.900,StateMachine,before if(conditionsToCheck
3.964,0.651,StateMachine,before this.everyTime
3.964,0.667,StateMachine,after this.everyTime
3.966,1.106,StateMachine,run completed
3.967,1.504,Mainline,Ending state machine pass
3.969,1.558,Mainline,Begining state machine pass
3.969,0.873,StateMachine,before if(conditionsToCheck
3.971,1.318,StateMachine,before this.everyTime
3.972,1.497,StateMachine,after this.everyTime
3.973,0.741,StateMachine,run completed
3.974,0.473,Mainline,Ending state machine pass
3.974,0.474,Mainline,Begining state machine pass
3.974,0.520,StateMachine,before if(conditionsToCheck
3.975,0.927,StateMachine,before this.everyTime
3.976,0.477,StateMachine,after this.everyTime
3.976,0.440,StateMachine,run completed
3.978,1.226,Mainline,Ending state machine pass
3.978,0.503,Mainline,Begining state machine pass
3.979,0.453,StateMachine,before if(conditionsToCheck
3.979,0.523,StateMachine,before this.everyTime
3.980,0.656,StateMachine,after this.everyTime
3.980,0.452,StateMachine,run completed
3.981,1.196,Mainline,Ending state machine pass
3.982,1.121,Mainline,Begining state machine pass
3.984,1.552,StateMachine,before if(conditionsToCheck
3.985,1.270,StateMachine,before this.everyTime
3.986,0.526,StateMachine,after this.everyTime
3.986,0.473,StateMachine,run completed
3.987,0.453,Mainline,Ending state machine pass
3.987,0.462,Mainline,Begining state machine pass
3.988,0.467,StateMachine,before if(conditionsToCheck
3.989,0.959,StateMachine,before this.everyTime
3.990,0.959,StateMachine,after this.everyTime
3.990,0.709,StateMachine,run completed
3.991,0.425,Mainline,Ending state machine pass
3.991,0.416,Mainline,Begining state machine pass
3.992,0.466,StateMachine,before if(conditionsToCheck
3.992,0.554,StateMachine,before this.everyTime
3.993,0.416,StateMachine,after this.everyTime
3.994,1.141,StateMachine,run completed
3.995,1.002,Mainline,Ending state machine pass
3.996,1.303,Mainline,Begining state machine pass
3.997,0.729,StateMachine,before if(conditionsToCheck
3.997,0.559,StateMachine,before this.everyTime
3.998,0.671,StateMachine,after this.everyTime
3.999,0.591,StateMachine,run completed
3.999,0.839,Mainline,Ending state machine pass
4.000,0.830,Mainline,Begining state machine pass
4.001,0.450,StateMachine,before if(conditionsToCheck
4.001,0.548,StateMachine,before this.everyTime
4.002,0.685,StateMachine,after this.everyTime
4.002,0.443,StateMachine,run completed
4.003,0.409,Mainline,Ending state machine pass
4.003,0.409,Mainline,Begining state machine pass
4.004,0.438,StateMachine,before if(conditionsToCheck
4.005,1.123,StateMachine,before this.everyTime
4.005,0.531,StateMachine,after this.everyTime
4.006,0.431,StateMachine,run completed
4.006,0.768,Mainline,Ending state machine pass
4.007,0.649,Mainline,Begining state machine pass
4.008,0.575,StateMachine,before if(conditionsToCheck
4.008,0.730,StateMachine,before this.everyTime
4.009,0.466,StateMachine,after this.everyTime
4.010,0.823,StateMachine,run completed
4.010,0.533,Mainline,Ending state machine pass
4.011,0.438,Mainline,Begining state machine pass
4.011,0.506,StateMachine,before if(conditionsToCheck
4.012,0.620,StateMachine,before this.everyTime
4.012,0.487,StateMachine,after this.everyTime
4.013,0.499,StateMachine,run completed
4.013,0.505,Mainline,Ending state machine pass
4.014,0.403,Mainline,Begining state machine pass
4.014,0.466,StateMachine,before if(conditionsToCheck
4.015,0.913,StateMachine,before this.everyTime
4.016,0.490,StateMachine,after this.everyTime
4.016,0.456,StateMachine,run completed
4.016,0.452,Mainline,Ending state machine pass
4.017,0.452,Mainline,Begining state machine pass
4.018,1.532,StateMachine,before if(conditionsToCheck
4.019,0.883,StateMachine,before this.everyTime
4.020,0.467,StateMachine,after this.everyTime
4.021,0.816,StateMachine,run completed
4.021,0.515,Mainline,Ending state machine pass
4.022,0.441,Mainline,Begining state machine pass
4.023,0.934,StateMachine,before if(conditionsToCheck
4.023,0.617,StateMachine,before this.everyTime
4.024,0.862,StateMachine,after this.everyTime
4.024,0.427,StateMachine,run completed
4.025,0.378,Mainline,Ending state machine pass
4.025,0.412,Mainline,Begining state machine pass
4.026,0.790,StateMachine,before if(conditionsToCheck
4.027,1.211,StateMachine,before this.everyTime
4.028,0.480,StateMachine,after this.everyTime
4.028,0.407,StateMachine,run completed
4.029,0.560,Mainline,Ending state machine pass
4.029,0.427,Mainline,Begining state machine pass
4.029,0.395,StateMachine,before if(conditionsToCheck
4.030,0.468,StateMachine,before this.everyTime
4.032,1.963,StateMachine,after this.everyTime
4.033,1.232,StateMachine,run completed
4.034,0.488,Mainline,Ending state machine pass
4.034,0.496,Mainline,Begining state machine pass
4.035,0.439,StateMachine,before if(conditionsToCheck
4.035,0.603,StateMachine,before this.everyTime
4.036,0.450,StateMachine,after this.everyTime
4.036,0.447,StateMachine,run completed
4.037,0.760,Mainline,Ending state machine pass
4.038,0.855,Mainline,Begining state machine pass
4.039,0.817,StateMachine,before if(conditionsToCheck
4.039,0.583,StateMachine,before this.everyTime
4.040,0.442,StateMachine,after this.everyTime
4.040,0.439,StateMachine,run completed
4.040,0.412,Mainline,Ending state machine pass
4.041,0.436,Mainline,Begining state machine pass
4.041,0.449,StateMachine,before if(conditionsToCheck
4.042,0.947,StateMachine,before this.everyTime
4.043,0.502,StateMachine,after this.everyTime
4.043,0.479,StateMachine,run completed
4.044,0.634,Mainline,Ending state machine pass
4.044,0.452,Mainline,Begining state machine pass
4.045,0.828,StateMachine,before if(conditionsToCheck
4.046,0.521,StateMachine,before this.everyTime
4.046,0.477,StateMachine,after this.everyTime
4.047,0.425,StateMachine,run completed
4.048,1.076,Mainline,Ending state machine pass
4.048,0.505,Mainline,Begining state machine pass
4.049,0.440,StateMachine,before if(conditionsToCheck
4.049,0.540,StateMachine,before this.everyTime
4.050,0.715,StateMachine,after this.everyTime
4.050,0.452,StateMachine,run completed
4.051,0.413,Mainline,Ending state machine pass
4.051,0.485,Mainline,Begining state machine pass
4.052,0.583,StateMachine,before if(conditionsToCheck
4.053,1.266,StateMachine,before this.everyTime
4.053,0.467,StateMachine,after this.everyTime
4.054,0.832,StateMachine,run completed
4.057,2.488,Mainline,Ending state machine pass
4.059,1.712,Mainline,Begining state machine pass
4.059,0.577,StateMachine,before if(conditionsToCheck
4.060,0.551,StateMachine,before this.everyTime
4.060,0.499,StateMachine,after this.everyTime
4.061,0.501,StateMachine,run completed
4.061,0.471,Mainline,Ending state machine pass
4.062,0.471,Mainline,Begining state machine pass
4.062,0.712,StateMachine,before if(conditionsToCheck
4.063,0.598,StateMachine,before this.everyTime
4.064,0.922,StateMachine,after this.everyTime
4.064,0.488,StateMachine,run completed
4.065,0.465,Mainline,Ending state machine pass
4.065,0.638,Mainline,Begining state machine pass
4.066,0.454,StateMachine,before if(conditionsToCheck
4.066,0.513,StateMachine,before this.everyTime
4.067,0.473,StateMachine,after this.everyTime
4.068,1.128,StateMachine,run completed
4.069,0.808,Mainline,Ending state machine pass
4.069,0.558,Mainline,Begining state machine pass
4.070,1.130,StateMachine,before if(conditionsToCheck
4.071,0.595,StateMachine,before this.everyTime
4.072,0.974,StateMachine,after this.everyTime
4.072,0.447,StateMachine,run completed
4.073,0.469,Mainline,Ending state machine pass
4.073,0.445,Mainline,Begining state machine pass
4.074,0.820,StateMachine,before if(conditionsToCheck
4.075,0.603,StateMachine,before this.everyTime
4.075,0.451,StateMachine,after this.everyTime
4.076,0.408,StateMachine,run completed
4.076,0.435,Mainline,Ending state machine pass
4.077,0.411,Mainline,Begining state machine pass
4.077,0.456,StateMachine,before if(conditionsToCheck
4.078,1.273,StateMachine,before this.everyTime
4.081,2.671,StateMachine,after this.everyTime
4.081,0.466,StateMachine,run completed
4.083,2.036,Mainline,Ending state machine pass
4.084,1.021,Mainline,Begining state machine pass
4.085,0.892,StateMachine,before if(conditionsToCheck
4.086,0.573,StateMachine,before this.everyTime
4.087,0.934,StateMachine,after this.everyTime
4.088,0.794,StateMachine,run completed
4.088,0.684,Mainline,Ending state machine pass
4.089,0.452,Mainline,Begining state machine pass
4.089,0.487,StateMachine,before if(conditionsToCheck
4.091,1.350,StateMachine,before this.everyTime
4.091,0.736,StateMachine,after this.everyTime
4.092,0.598,StateMachine,run completed
4.093,0.745,Mainline,Ending state machine pass
4.093,0.485,Mainline,Begining state machine pass
4.094,0.494,StateMachine,before if(conditionsToCheck
4.094,0.567,StateMachine,before this.everyTime
4.095,0.545,StateMachine,after this.everyTime
4.096,1.257,StateMachine,run completed
4.097,0.494,Mainline,Ending state machine pass
4.097,0.444,Mainline,Begining state machine pass
4.098,1.180,StateMachine,before if(conditionsToCheck
4.099,1.300,StateMachine,before this.everyTime
4.100,0.514,StateMachine,after this.everyTime
4.101,1.445,StateMachine,run completed
4.102,0.618,Mainline,Ending state machine pass
4.102,0.453,Mainline,Begining state machine pass
4.103,0.495,StateMachine,before if(conditionsToCheck
4.103,0.494,StateMachine,before this.everyTime
4.104,0.667,StateMachine,after this.everyTime
4.105,0.434,StateMachine,run completed
4.106,0.943,Mainline,Ending state machine pass
4.107,1.566,Mainline,Begining state machine pass
4.108,0.498,StateMachine,before if(conditionsToCheck
4.108,0.499,StateMachine,before this.everyTime
4.108,0.391,StateMachine,after this.everyTime
4.109,0.393,StateMachine,run completed
4.109,0.393,Mainline,Ending state machine pass
4.110,0.452,Mainline,Begining state machine pass
4.110,0.479,StateMachine,before if(conditionsToCheck
4.111,0.515,StateMachine,before this.everyTime
4.111,0.477,StateMachine,after this.everyTime
4.112,0.981,StateMachine,run completed
4.113,0.502,Mainline,Ending state machine pass
4.113,0.443,Mainline,Begining state machine pass
4.114,0.458,StateMachine,before if(conditionsToCheck
4.114,0.552,StateMachine,before this.everyTime
4.115,1.109,StateMachine,after this.everyTime
4.116,1.233,StateMachine,run completed
4.117,0.482,Mainline,Ending state machine pass
4.118,0.573,Mainline,Begining state machine pass
4.118,0.665,StateMachine,before if(conditionsToCheck
4.119,0.532,StateMachine,before this.everyTime
4.119,0.636,StateMachine,after this.everyTime
4.120,0.501,StateMachine,run completed
4.120,0.471,Mainline,Ending state machine pass
4.121,0.431,Mainline,Begining state machine pass
4.121,0.446,StateMachine,before if(conditionsToCheck
4.122,0.693,StateMachine,before this.everyTime
4.122,0.493,StateMachine,after this.everyTime
4.123,0.458,StateMachine,run completed
4.123,0.445,Mainline,Ending state machine pass
4.124,0.448,Mainline,Begining state machine pass
4.125,1.151,StateMachine,before if(conditionsToCheck
4.125,0.548,StateMachine,before this.everyTime
4.126,0.873,StateMachine,after this.everyTime
4.127,0.443,StateMachine,run completed
4.127,0.462,Mainline,Ending state machine pass
4.128,0.424,Mainline,Begining state machine pass
4.128,0.475,StateMachine,before if(conditionsToCheck
