sec,d ms,r.init,r.init was invoked (a)
0.001,0.794,r.init,debug mode is false
0.002,0.839,robot,pushButton was invoked with button 0
3.264,3261.956,robot,resetMotorEncoders was called
3.282,18.103,robot,enableMotorEncoders was called
3.313,31.263,r.init,r.init finished (a)
3.368,55.294,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.370,1.393,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.578,208.131,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.597,1019.022,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.666,69.422,in TeleOp_Revised,top of main loop
4.667,0.807,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.774,106.366,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.776,2.280,in TeleOp_Revised,top of main loop
4.778,1.679,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.781,2.978,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.782,1.566,in TeleOp_Revised,top of main loop
4.783,0.832,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.787,3.634,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.789,2.009,in TeleOp_Revised,top of main loop
4.790,0.956,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.792,2.430,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.794,1.664,in TeleOp_Revised,top of main loop
4.794,0.740,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.798,4.007,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.801,3.069,in TeleOp_Revised,top of main loop
4.802,0.912,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.804,1.939,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.806,2.033,in TeleOp_Revised,top of main loop
4.807,0.782,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.809,2.017,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.811,2.287,in TeleOp_Revised,top of main loop
4.813,1.768,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.818,4.342,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.820,2.923,in TeleOp_Revised,top of main loop
4.821,0.914,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.823,1.803,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.825,1.585,in TeleOp_Revised,top of main loop
4.825,0.654,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.827,2.053,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.829,1.607,in TeleOp_Revised,top of main loop
4.830,0.774,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.832,2.022,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.833,1.412,in TeleOp_Revised,top of main loop
4.834,0.650,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.836,2.068,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.837,1.043,in TeleOp_Revised,top of main loop
