sec,d ms,r.init,r.init was invoked (a)
0.000,0.480,r.init,debug mode is false
0.001,1.141,r.init,colorSensorLineThreshhold is 0.40860215053763443
0.076,74.290,robot,pushButton was invoked with button 0
3.558,3482.610,robot,resetMotorEncoders was called
3.571,13.019,robot,enableMotorEncoders was called
3.602,31.184,r.init,r.init finished (a)
3.666,63.686,autonomous,Done with robot.init --- waiting for start in masterV3
3.667,0.921,autonomous,Started
3.688,20.603,Mainline,Beginning state machine pass 0
3.689,0.900,<colorRed>
3.689,0.859,colorRedStateMachine,Execution of colorRed has started
3.690,0.610,</colorRed>
3.691,0.589,colorRedStateMachine,Execution of colorRed has been completed in, 0, intervals over a time of, 0.000840.3, seconds
3.692,1.340,Mainline,Ending state machine pass of arcTowardsBeacon
3.694,1.676,Mainline,Beginning state machine pass 1
3.694,0.807,robot,enableMotorBreak was called
3.700,6.023,robot,setMotorTankTargets was called - L:r: 1959 : 4059
3.763,62.503,<arcTowardsBeacon>
3.788,25.527,arcTowardsBeaconStateMachine,Execution of arcTowardsBeacon has started
3.789,0.783,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.856,66.599,Mainline,Ending state machine pass of arcTowardsBeacon
3.857,0.800,Mainline,Beginning state machine pass 1
3.857,0.824,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.861,3.103,Mainline,Ending state machine pass of arcTowardsBeacon
3.865,4.168,Mainline,Beginning state machine pass 1
3.868,3.115,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.873,5.151,Mainline,Ending state machine pass of arcTowardsBeacon
3.875,2.242,Mainline,Beginning state machine pass 1
3.877,1.788,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.902,25.045,Mainline,Ending state machine pass of arcTowardsBeacon
3.903,0.740,Mainline,Beginning state machine pass 1
3.904,1.577,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.907,2.336,Mainline,Ending state machine pass of arcTowardsBeacon
3.911,4.344,Mainline,Beginning state machine pass 1
3.912,1.067,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.916,3.562,Mainline,Ending state machine pass of arcTowardsBeacon
3.919,3.667,Mainline,Beginning state machine pass 1
3.921,1.950,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
3.926,4.486,Mainline,Ending state machine pass of arcTowardsBeacon
3.929,3.278,Mainline,Beginning state machine pass 1
3.931,1.566,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
3.960,29.733,Mainline,Ending state machine pass of arcTowardsBeacon
3.962,2.049,Mainline,Beginning state machine pass 1
3.964,1.397,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.990,26.055,Mainline,Ending state machine pass of arcTowardsBeacon
3.991,1.191,Mainline,Beginning state machine pass 1
3.992,0.637,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 1.00
3.993,1.569,Mainline,Ending state machine pass of arcTowardsBeacon
3.994,0.808,Mainline,Beginning state machine pass 1
3.995,0.599,robot,bettermove powers are fl:fr:bl:br, 0.48, 1.00, 0.48, 0.99
4.021,26.770,Mainline,Ending state machine pass of arcTowardsBeacon
4.024,2.472,Mainline,Beginning state machine pass 1
4.026,1.659,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.058,31.906,Mainline,Ending state machine pass of arcTowardsBeacon
4.058,0.836,Mainline,Beginning state machine pass 1
4.059,0.818,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.061,1.586,Mainline,Ending state machine pass of arcTowardsBeacon
4.062,1.185,Mainline,Beginning state machine pass 1
4.064,1.858,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.067,2.813,Mainline,Ending state machine pass of arcTowardsBeacon
4.068,1.154,Mainline,Beginning state machine pass 1
4.069,0.951,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.48, 1.00
4.071,2.462,Mainline,Ending state machine pass of arcTowardsBeacon
4.072,1.306,Mainline,Beginning state machine pass 1
4.075,2.404,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.48, 1.00
4.106,31.381,Mainline,Ending state machine pass of arcTowardsBeacon
4.107,0.901,Mainline,Beginning state machine pass 1
4.116,8.924,robot,bettermove powers are fl:fr:bl:br, 0.48, 0.99, 0.47, 1.00
4.144,27.999,Mainline,Ending state machine pass of arcTowardsBeacon
4.145,0.931,Mainline,Beginning state machine pass 1
4.146,0.595,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.177,31.601,Mainline,Ending state machine pass of arcTowardsBeacon
4.178,1.238,Mainline,Beginning state machine pass 1
4.180,1.122,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.181,1.844,Mainline,Ending state machine pass of arcTowardsBeacon
4.183,1.580,Mainline,Beginning state machine pass 1
4.184,1.404,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.186,1.831,Mainline,Ending state machine pass of arcTowardsBeacon
4.187,0.971,Mainline,Beginning state machine pass 1
4.188,1.516,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.191,2.426,Mainline,Ending state machine pass of arcTowardsBeacon
4.192,1.236,Mainline,Beginning state machine pass 1
4.193,0.691,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.196,2.504,Mainline,Ending state machine pass of arcTowardsBeacon
4.197,1.360,Mainline,Beginning state machine pass 1
4.199,1.926,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.201,2.055,Mainline,Ending state machine pass of arcTowardsBeacon
4.202,0.759,Mainline,Beginning state machine pass 1
4.203,0.988,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.204,1.339,Mainline,Ending state machine pass of arcTowardsBeacon
4.205,0.735,Mainline,Beginning state machine pass 1
4.206,1.619,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.208,2.091,Mainline,Ending state machine pass of arcTowardsBeacon
4.214,5.144,Mainline,Beginning state machine pass 1
4.216,1.970,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.217,1.800,Mainline,Ending state machine pass of arcTowardsBeacon
4.218,0.824,Mainline,Beginning state machine pass 1
4.219,0.805,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.221,2.339,Mainline,Ending state machine pass of arcTowardsBeacon
4.223,1.849,Mainline,Beginning state machine pass 1
4.225,1.391,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.47, 1.00
4.229,4.232,Mainline,Ending state machine pass of arcTowardsBeacon
4.231,1.728,Mainline,Beginning state machine pass 1
4.231,0.862,robot,bettermove powers are fl:fr:bl:br, 0.47, 0.99, 0.46, 1.00
4.260,28.640,Mainline,Ending state machine pass of arcTowardsBeacon
4.261,1.085,Mainline,Beginning state machine pass 1
4.262,0.873,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.290,27.925,Mainline,Ending state machine pass of arcTowardsBeacon
4.291,0.788,Mainline,Beginning state machine pass 1
4.292,0.977,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.293,1.576,Mainline,Ending state machine pass of arcTowardsBeacon
4.295,1.477,Mainline,Beginning state machine pass 1
4.297,2.380,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.299,1.852,Mainline,Ending state machine pass of arcTowardsBeacon
4.300,0.675,Mainline,Beginning state machine pass 1
4.301,0.970,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.303,2.275,Mainline,Ending state machine pass of arcTowardsBeacon
4.304,1.148,Mainline,Beginning state machine pass 1
4.306,2.249,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.309,2.260,Mainline,Ending state machine pass of arcTowardsBeacon
4.310,1.179,Mainline,Beginning state machine pass 1
4.311,1.220,robot,bettermove powers are fl:fr:bl:br, 0.46, 0.99, 0.46, 1.00
4.313,2.196,Mainline,Ending state machine pass of arcTowardsBeacon
4.314,0.699,Mainline,Beginning state machine pass 1
4.315,1.133,robot,bettermove powers are fl:fr:bl:br, 0.45, 0.98, 0.46, 1.00
4.347,31.908,Mainline,Ending state machine pass of arcTowardsBeacon
4.348,0.781,Mainline,Beginning state machine pass 1
4.349,1.452,robot,bettermove powers are fl:fr:bl:br, 0.45, 0.98, 0.45, 1.00
4.392,42.656,Mainline,Ending state machine pass of arcTowardsBeacon
4.393,0.788,Mainline,Beginning state machine pass 1
4.394,1.285,robot,bettermove powers are fl:fr:bl:br, 0.44, 0.99, 0.44, 1.00
4.452,58.309,Mainline,Ending state machine pass of arcTowardsBeacon
4.453,0.641,Mainline,Beginning state machine pass 1
4.453,0.546,robot,bettermove powers are fl:fr:bl:br, 0.43, 0.98, 0.43, 1.00
4.492,39.039,Mainline,Ending state machine pass of arcTowardsBeacon
4.493,0.673,Mainline,Beginning state machine pass 1
4.494,0.826,robot,bettermove powers are fl:fr:bl:br, 0.43, 0.99, 0.42, 1.00
4.534,39.949,Mainline,Ending state machine pass of arcTowardsBeacon
4.535,0.763,Mainline,Beginning state machine pass 1
4.536,1.337,robot,bettermove powers are fl:fr:bl:br, 0.41, 0.98, 0.41, 1.00
4.577,40.684,Mainline,Ending state machine pass of arcTowardsBeacon
4.578,0.916,Mainline,Beginning state machine pass 1
4.578,0.881,robot,bettermove powers are fl:fr:bl:br, 0.40, 0.98, 0.40, 1.00
4.601,22.739,Mainline,Ending state machine pass of arcTowardsBeacon
4.602,0.883,Mainline,Beginning state machine pass 1
4.603,0.932,robot,bettermove powers are fl:fr:bl:br, 0.40, 0.98, 0.40, 1.00
4.605,2.231,Mainline,Ending state machine pass of arcTowardsBeacon
4.606,0.892,Mainline,Beginning state machine pass 1
4.607,0.697,robot,bettermove powers are fl:fr:bl:br, 0.40, 0.99, 0.40, 1.00
4.620,12.726,Mainline,Ending state machine pass of arcTowardsBeacon
4.622,2.042,Mainline,Beginning state machine pass 1
4.624,2.015,robot,bettermove powers are fl:fr:bl:br, 0.40, 0.99, 0.39, 1.00
4.655,31.739,Mainline,Ending state machine pass of arcTowardsBeacon
4.656,1.043,Mainline,Beginning state machine pass 1
4.657,0.774,robot,bettermove powers are fl:fr:bl:br, 0.39, 0.98, 0.38, 1.00
4.695,37.557,Mainline,Ending state machine pass of arcTowardsBeacon
4.695,0.729,Mainline,Beginning state machine pass 1
4.697,1.921,robot,bettermove powers are fl:fr:bl:br, 0.38, 0.98, 0.38, 1.00
4.714,16.292,Mainline,Ending state machine pass of arcTowardsBeacon
4.714,0.709,Mainline,Beginning state machine pass 1
4.715,0.826,robot,bettermove powers are fl:fr:bl:br, 0.37, 0.97, 0.36, 0.98
4.771,55.450,Mainline,Ending state machine pass of arcTowardsBeacon
4.771,0.677,Mainline,Beginning state machine pass 1
4.772,0.910,robot,bettermove powers are fl:fr:bl:br, 0.34, 0.93, 0.34, 0.94
4.828,56.261,Mainline,Ending state machine pass of arcTowardsBeacon
4.829,0.701,Mainline,Beginning state machine pass 1
4.830,0.663,robot,bettermove powers are fl:fr:bl:br, 0.31, 0.90, 0.31, 0.90
4.898,67.733,Mainline,Ending state machine pass of arcTowardsBeacon
4.898,0.825,Mainline,Beginning state machine pass 1
4.899,0.635,robot,bettermove powers are fl:fr:bl:br, 0.28, 0.85, 0.28, 0.85
4.966,66.730,Mainline,Ending state machine pass of arcTowardsBeacon
4.967,0.896,Mainline,Beginning state machine pass 1
4.967,0.801,robot,bettermove powers are fl:fr:bl:br, 0.25, 0.80, 0.25, 0.80
5.018,50.478,Mainline,Ending state machine pass of arcTowardsBeacon
5.019,0.850,Mainline,Beginning state machine pass 1
5.020,1.340,robot,bettermove powers are fl:fr:bl:br, 0.23, 0.76, 0.24, 0.76
5.096,75.994,Mainline,Ending state machine pass of arcTowardsBeacon
5.097,1.110,Mainline,Beginning state machine pass 1
5.098,0.862,robot,bettermove powers are fl:fr:bl:br, 0.21, 0.70, 0.22, 0.70
5.170,71.633,Mainline,Ending state machine pass of arcTowardsBeacon
5.171,0.958,Mainline,Beginning state machine pass 1
5.172,0.905,robot,bettermove powers are fl:fr:bl:br, 0.19, 0.65, 0.20, 0.64
5.227,55.112,Mainline,Ending state machine pass of arcTowardsBeacon
5.228,1.348,Mainline,Beginning state machine pass 1
5.229,1.324,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.62, 0.20, 0.59
5.274,44.982,Mainline,Ending state machine pass of arcTowardsBeacon
5.275,0.956,Mainline,Beginning state machine pass 1
5.276,0.959,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.58, 0.19, 0.55
5.344,67.624,Mainline,Ending state machine pass of arcTowardsBeacon
5.345,0.716,Mainline,Beginning state machine pass 1
5.345,0.867,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.54, 0.18, 0.50
5.404,58.294,Mainline,Ending state machine pass of arcTowardsBeacon
5.405,0.762,Mainline,Beginning state machine pass 1
5.406,1.670,robot,bettermove powers are fl:fr:bl:br, 0.15, 0.50, 0.18, 0.46
5.457,51.262,Mainline,Ending state machine pass of arcTowardsBeacon
5.458,0.706,Mainline,Beginning state machine pass 1
5.459,0.603,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.50, 0.19, 0.45
5.518,59.536,Mainline,Ending state machine pass of arcTowardsBeacon
5.519,0.836,Mainline,Beginning state machine pass 1
5.520,0.599,robot,bettermove powers are fl:fr:bl:br, 0.16, 0.50, 0.20, 0.44
5.569,48.875,Mainline,Ending state machine pass of arcTowardsBeacon
5.569,0.780,Mainline,Beginning state machine pass 1
5.570,0.672,robot,bettermove powers are fl:fr:bl:br, 0.17, 0.50, 0.21, 0.43
5.621,50.609,Mainline,Ending state machine pass of arcTowardsBeacon
5.622,0.873,Mainline,Beginning state machine pass 1
5.623,1.138,robot,bettermove powers are fl:fr:bl:br, 0.18, 0.50, 0.22, 0.43
